,Value
DoF,41.0
DoF Baseline,55.0
chi2,113.32404679350603
chi2 p-value,1.0612886680583244e-08
chi2 Baseline,995.2838553684319
CFI,0.9230827516812279
GFI,0.8861389681122116
AGFI,0.8472595913700399
NFI,0.8861389681122116
TLI,0.8968183254260375
RMSEA,0.13150714367031083
AIC,47.79953307197076
BIC,113.66775777771166
LogLik,1.1002334640146216
