,Value
DoF,12.0
DoF Baseline,21.0
chi2,38.361436149163985
chi2 p-value,0.00013400077969738522
chi2 Baseline,456.97987826357706
CFI,0.9395351999863928
GFI,0.9160544304599821
AGFI,0.8530952533049687
NFI,0.9160544304599822
TLI,0.8941865999761874
RMSEA,0.14675531008075546
AIC,31.255117744676426
BIC,73.4107815563506
LogLik,0.3724411276617863
