,Value
DoF,40.0
DoF Baseline,55.0
chi2,73.61407872228409
chi2 p-value,0.0009476121689820927
chi2 Baseline,870.9560082990216
CFI,0.9588040551446425
GFI,0.9154789931743481
AGFI,0.8837836156147286
NFI,0.9154789931743482
TLI,0.9433555758238834
RMSEA,0.09076753155657342
AIC,50.57060041315953
BIC,119.07355410713006
LogLik,0.7146997934202339
