,Value
DoF,24.0
DoF Baseline,36.0
chi2,54.88428597371144
chi2 p-value,0.00032447653882017313
chi2 Baseline,677.014002855546
CFI,0.9518196391402837
GFI,0.9189318304463164
AGFI,0.8783977456694747
NFI,0.9189318304463163
TLI,0.9277294587104254
RMSEA,0.11232154686978806
AIC,40.93428570924832
BIC,96.26359446207067
LogLik,0.5328571453758393
