,サンプル数,最小値,最大値,平均,標準偏差,中央値,分散,歪度,尖度
Honesty-Humility,13668,1.0,5.0,3.242504389815628,0.7855210462923237,3.3,0.6170433141681869,-0.25664508169110467,-0.3704320802210326
Emotionality,13668,1.0,5.0,3.2285469710272165,0.8882064020441552,3.3,0.7889106126322236,-0.24503725827098166,-0.5640210557787673
Extraversion,13668,1.0,5.0,2.800609452736319,0.9129470050810129,2.7,0.833472234086391,0.26862587252329456,-0.6376844806912736
Agreeableness,13668,1.0,5.0,3.012857769973661,0.7569107079582248,3.0,0.5729138198218211,-0.10941538140575785,-0.3635240482426454
Conscientiousness,13668,1.0,5.0,2.952731928592333,0.8244558477715684,2.9,0.6797274449247357,0.11193447822160398,-0.6528781275895597
Openness,13668,1.0,5.0,3.6216827626573016,0.8098878087180322,3.7,0.655918262710096,-0.5065254992179643,-0.39361767951898363
