id,status,plan,scale,login_status,inbound,taishu_tenpyo,cnt_brand,cnt_cp,cp_brand,cnt_store,avg_store_info,media_library,cnt_category,bt_resto,bt_retail,bt_hotel,bt_salon,bt_activity,bt_other,rev,rev_posi,rev_nega,rev_mix,rev_none,rev_avg_comment,rev_avg_rate,rev_avg_uuser,lang_ja,lang_en,lang_ko,lang_ch_han,lang_ch_kan,lang_thai,lang_other,st_google,st_trip_advisor,st_tabelog,st_retty,st_hot_pepper_gourmet,st_gnavi,st_hot_pepper_beauty,st_yahoo_loco,st_asoview,st_demaecan,st_ikyu,st_ozmall,st_tribeau,st_clinic,q_pos,q_neg,q_neu,s_pos,s_neg,s_neu,c_pos,c_neg,c_neu,a_pos,a_neg,a_neu,un_pos,un_neg,un_neu,photo,rep,rep_posi,rep_nega,rep_mix,rep_none,rep_avg_comment,rep_avg_rate,rep_avg_uuser,weekly,monthly,wday_index,now,scheduled,tw,fb,in,web,call,direction,pv_search_pc,pv_map_pc,pv_search_sp,pv_map_sp,chat,booking,orders,search,search_per_keyword,cnt_keywords,post_total,post_sns,reaction,pv_total
39932,tech_touch,growth,small,NA,1,1,1,0,0,1,716,1,1,1,0,0,0,0,0,1344,616,15,43,641,112,4,41,216,362,53,27,8,8,29,1280,2,46,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1517,205,164,8,14,14,224,3,10,0,0,0,0,0,0,0,0,10475,1644,7647,39425,9655,287637,180648,24,1023,0,34702,222041,510468,0,0,19766,517365
1090,low_touch,growth,medium,7日以内,0,0,4,0,0,18,52,4,3,2,0,2,0,0,0,4773,1506,294,480,2371,162,4,11,226,82,22,42,4,3,48,4305,93,24,1,8,0,0,272,0,0,47,23,0,0,443,236,39,790,749,20,406,574,9,282,47,8,5452,2080,1328,7179,8384,2465,516,886,4306,90,4,12,0,0,0,0,0,0,0,0,784620,165942,1672749,3801694,4821303,20034129,17742175,222,49,0,171230,363549,496485,0,0,2623311,46399301
32077,low_touch,enterprise,medium,1日以内,0,0,1,18,4,18,210,10,1,0,0,0,1,0,0,3186,1681,31,97,1357,64,5,13,0,0,0,0,0,0,0,3186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3279,1743,49,112,1360,143,4,5,0,2,0,4,4,0,0,0,40936,62471,120481,283460,46493,1810449,629135,0,0,0,273735,885810,1303043,10,0,223888,2769537
35154,low_touch,enterprise,small,1日以内,0,0,1,4,1,4,313,4,1,0,1,0,0,0,0,573,358,20,8,174,26,4,12,0,0,0,0,0,0,0,572,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,532,408,27,9,70,40,4,6,8,0,0,22,7,0,0,0,1007,1978,4810,24427,3172,101634,31519,0,0,0,292852,481355,1061727,37,0,7795,160752
29965,high_touch,growth,medium,60日以内,1,0,1,0,0,47,234,121,1,0,1,0,0,0,0,231,49,100,10,48,70,3,1,161,15,2,3,0,0,2,228,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,5272,22002,210139,184271,443196,1493030,11086097,0,0,0,83300,357151,1035382,275,0,237413,13206594
21190,tech_touch,small,larger,1日以内,0,0,1,0,0,108,348,11,25,1,0,0,0,0,0,9049,2528,434,592,5170,76,4,7,158,22,5,3,2,0,2,9049,0,0,0,0,0,0,0,0,0,0,0,0,0,3876,1051,174,1015,890,13,39,16,0,1001,176,14,4644,1439,1365,35255,1936,842,105,117,799,81,4,3,15358,916,0,20,338,0,0,0,871307,243700,814548,4891334,1001219,26108767,18619341,417,14524,18,42137,532225,650394,16632,0,1929555,50620661
19141,tech_touch,growth,small,1日以内,0,0,1,0,0,1,63,3,1,1,0,0,0,0,0,22,9,0,2,10,63,5,2,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,18,2,0,2,4,0,2,0,0,0,0,0,32,0,0,179,23,9,0,2,11,32,5,2,0,0,0,4,0,0,0,0,7569,6115,5203,9245,2428,107315,66712,0,0,0,726543,717711,2310682,4,0,18887,185700
25543,tech_touch,small,large,7日以内,0,0,8,0,0,52,132,10,7,2,4,1,0,0,1,670,243,42,38,270,53,4,2,0,0,0,0,0,0,0,517,0,25,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2364,54,42,0,4,7,104,4,3,0,0,0,8,0,0,0,0,181159,25165,198556,797620,127945,4677694,2406456,32,0,0,745506,534135,1962576,8,0,404880,8009715
6040,tech_touch,small,larger,1日以内,0,0,7,0,0,314,127,307,13,0,7,0,0,0,0,16677,3267,2657,1055,8475,65,3,4,0,0,0,0,0,0,0,15761,0,0,0,0,0,0,916,0,0,0,0,0,0,550,656,64,927,2457,12,50,68,0,92,40,2,9133,6547,5381,22448,10598,2114,1683,700,5314,59,4,4,4213,105,105,262,184,0,0,0,2287532,2144061,10031054,14971574,13227408,97746984,226063346,154,0,0,269745,469684,641321,4869,0,14462647,352009312
107,high_touch,enterprise,larger,1日以内,0,0,3,348,1,1626,250,57,1,3,0,0,0,0,0,56507,10731,4697,2298,38048,30,4,1,11,0,0,0,0,0,0,5498,0,515,15,0,0,0,631,0,49848,0,0,0,0,9541,5465,361,5598,5321,58,43,49,1,89,16,3,9856,4217,2534,5393,147,39,33,11,57,40,4,2,0,0,10,25,262,0,0,0,3041234,1898325,3201733,10148446,23667258,72562518,440492499,1,0,0,44520,81424,345477,297,0,8141292,546870721
