,all,ja,mt,en,sc
MSE,0.7630801244610026,0.6041463631465338,0.9120674201300185,1.1042223654436836,0.9059891649971149
RMSE,0.8735445749708498,0.77726852705261,0.9550222092339101,1.0508198539443778,0.9518346311188277
MAE,0.7051738473975167,0.6267556078611622,0.7170981092238584,0.573601827878364,0.7504775721040527
R-squared,-0.02548115663194639,0.037365203964264015,0.03181152494727335,-0.017872900361747934,-0.1513749142651437
Adjusted R-squared,-0.06084257582615149,0.004170900652686993,-0.0015742845373034609,-0.05297196589146336,-0.19107749751566594
Intercept,0.033670525760841966,0.03770214092722338,0.03421954280934183,-0.0037693317057555216,0.10582583257053779
Productiveness,0.2194765636555627,0.241339645564245,0.3134469476726427,0.08285609498739406,0.3007405428779888
