ID,視聴した講義数,視聴時間,確認テスト完了数,確認テストマスター数,平均初回正答率,開放性,勤勉性,外向性,協調性,否定的情動性
TKYHS111,0,0,20,20,0.39,3,2.92,3.17,3.42,3.08
TKYHS112,0,0,19,19,0.59,3.92,3.5,3.25,2.75,2.42
TKYHS113,0,0,14,14,0.50,4.17,3.08,3.92,2.58,1.58
TKYHS114,0,0,13,13,0.37,3,2.92,3.25,3.42,2.17
TKYHS115,1,254,24,24,0.36,2.83,3.83,3.08,3,1.58
TKYHS116,0,0,19,18,0.55,4.25,3.58,4.08,3.17,2.92
TKYHS117,0,0,19,19,0.56,2.83,2,2.33,2.08,3.83
TKYHS119,0,0,18,18,0.44,4.08,2.75,3.5,3.5,3.25
TKYHS120,6,3177,19,18,0.33,3,3,3.08,3.17,3
TKYHS122,0,162,14,14,0.48,3.83,2.58,2.92,4,3.17
TKYHS123,0,0,36,36,0.61,3.5,2.58,3.25,2.92,2.83
TKYHS124,14,5765,19,19,0.53,3.83,3,2.92,4.17,2.5
TKYHS125,0,0,19,19,0.36,3.83,3,4,3.5,3.08
