,Value
DoF,63.0
DoF Baseline,78.0
chi2,259.4153434535642
chi2 p-value,0.0
chi2 Baseline,547.4483714893445
CFI,0.5816039518245033
GFI,0.5261373364801151
AGFI,0.41331289278490435
NFI,0.5261373364801151
TLI,0.4819858451160518
RMSEA,0.17483055842792047
AIC,50.96280886497934
BIC,124.73522053540913
LogLik,2.5185955675103324
