,Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness,割合
Cluster 0,3.3,2.7,2.44,2.87,2.41,2.48,13.81
Cluster 1,3.0,3.93,2.16,2.98,2.41,3.62,16.96
Cluster 2,3.82,3.9,2.06,3.15,3.72,3.84,17.3
Cluster 3,3.36,3.68,3.67,3.55,3.06,3.85,15.47
Cluster 4,2.79,2.91,3.09,2.2,3.78,3.81,11.85
Cluster 5,2.36,2.6,3.94,2.86,2.32,3.66,11.64
Cluster 6,3.79,2.3,2.68,3.27,2.91,4.06,12.97
