,all,ja,mt,en,sc
MSE,0.7638758855729622,0.6044536240599436,0.912898719399924,1.1045885201937518,0.9072898759598204
RMSE,0.8739999345383054,0.7774661562151395,0.9554573352065093,1.0509940628727412,0.9525176512589256
MAE,0.7051002048124,0.6268290969890293,0.7173224381005445,0.5735563494270596,0.7501001815459064
R-squared,-0.02655055681593299,0.03687562053754345,0.03092907442368431,-0.01821042205040113,-0.15302792075907212
Adjusted R-squared,-0.06194885187855137,0.0036644350388380653,-0.0024871643892920847,-0.05332112625903562,-0.19278750423352298
Intercept,0.03369192133091601,0.037725667809603486,0.034250099038315544,-0.0037612545181194596,0.10585515012158779
Productiveness,0.2225407434849459,0.2447090626065539,0.3178230769442288,0.0840128744210299,0.30493927412298283
